Order ID,Date,Time,date_time,Kiosk,Product,Qty,Subtotal,Unit Price_BD,Unit_Price_AD,Discount Applied,Total,COGS,Margin,Fridge Type,Promotion Label,,,,,,,,,,,
1588PXKCP8,9/8/19,8:15:08 AM,8:15:08 AM,Kronos,Dark Chocolate Overnight Oats,1,4.98,4.98,4.98,0,4.98,1,3.98,Byte,,,,,,,,,,,,
1581PXK9O6,9/8/19,7:09:42 AM,7:09:42 AM,Waltham Watch Factory,Seasoned Chicken,2,6.98,3.49,3.14,0.7,6.28,3,3.98,Byte,,,,,,,,,,,,
1581PXK9O6,9/8/19,7:09:42 AM,7:09:42 AM,Waltham Watch Factory,6AM Health Juice - Immune,1,5.98,5.98,5.38,0.6,5.38,0,5.98,Byte,,,,,,,,,,,,
1581PXK9O6,9/8/19,7:09:42 AM,7:09:42 AM,Waltham Watch Factory,Vegetarian Harvest Bowl,1,7.98,7.98,7.18,0.8,7.18,3,4.98,Byte,,,,,,,,,,,,
1587PXJ1KJ,9/7/19,3:17:07 PM,3:17:07 PM,Synergy,Kind Bars,2,4.98,2.49,2.49,0,4.98,0,4.98,Byte,,,,,,,,,,,,
1590PXFI1N,9/5/19,5:22:35 PM,5:22:35 PM,GSV,Krave Beef Jerky,1,5.49,5.49,5.49,0,5.49,0,5.49,Byte,,,,,,,,,,,,
1588PXFGSQ,9/5/19,4:55:38 PM,4:55:38 PM,Kronos,TruEnergy,1,2.98,2.98,2.98,0,2.98,1.8,1.18,Byte,,,,,,,,,,,,
1590PXFD0A,9/5/19,3:33:46 PM,3:33:46 PM,GSV,Krave Beef Jerky,1,5.49,5.49,5.49,0,5.49,0,5.49,Byte,,,,,,,,,,,,
1585PXFCOG,9/5/19,3:26:40 PM,3:26:40 PM,One Financial Plaza,Love Corn,1,2.25,2.25,2.25,0,2.25,0,2.25,Byte,,,,,,,,,,,,
1585PXFCOG,9/5/19,3:26:40 PM,3:26:40 PM,One Financial Plaza,SmartSweets Gummy Bears,1,3.49,3.49,3.49,0,3.49,2.49,1,Byte,,,,,,,,,,,,
1588PXFCFS,9/5/19,3:21:28 PM,3:21:28 PM,Kronos,Almond Energy Bites,1,4.98,4.98,4.98,0,4.98,2,2.98,Byte,,,,,,,,,,,,
1590PXFBW0,9/5/19,3:09:36 PM,3:09:36 PM,GSV,Hard Boiled Eggs,1,3.49,3.49,3.49,0,3.49,0,3.49,Byte,,,,,,,,,,,,
1588PXFBEK,9/5/19,2:59:08 PM,2:59:08 PM,Kronos,Buffalo Chicken Half Wrap,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
1590PXFAUZ,9/5/19,2:47:23 PM,2:47:23 PM,GSV,Vermont Cheddar & Grapes,1,3.49,3.49,3.49,0,3.49,1,2.49,Byte,,,,,,,,,,,,
1590PXFARS,9/5/19,2:45:28 PM,2:45:28 PM,GSV,Zesty Burrito Bowl,1,7.98,7.98,7.98,0,7.98,1,6.98,Byte,,,,,,,,,,,,
1588PXFAC6,9/5/19,2:36:06 PM,2:36:06 PM,Kronos,SmartSweets Gummy Bears,1,3.49,3.49,3.49,0,3.49,2.49,1,Byte,,,,,,,,,,,,
1588PXFAC6,9/5/19,2:36:06 PM,2:36:06 PM,Kronos,Dark Chocolate PB Cups,1,2.99,2.99,2.99,0,2.99,0,2.99,Byte,,,,,,,,,,,,
1590PXF9R4,9/5/19,2:23:28 PM,2:23:28 PM,GSV,Vermont Cheddar & Grapes,1,3.49,3.49,3.49,0,3.49,1,2.49,Byte,,,,,,,,,,,,
1583PXF81B,9/5/19,1:46:23 PM,1:46:23 PM,Lionbridge,Vermont Cheddar & Grapes,1,3.49,3.49,3.49,0,3.49,1,2.49,Byte,,,,,,,,,,,,
1588PXF7O2,9/5/19,1:38:26 PM,1:38:26 PM,Kronos,Arugula Caprese,1,7.98,7.98,7.98,0,7.98,2.97,5.01,Byte,,,,,,,,,,,,
1588PXF7O2,9/5/19,1:38:26 PM,1:38:26 PM,Kronos,6AM Health Juice - Cleanse,1,5.98,5.98,5.98,0,5.98,0,5.98,Byte,,,,,,,,,,,,
1590PXF7LD,9/5/19,1:36:49 PM,1:36:49 PM,GSV,6AM Health Juice - Cleanse,1,5.98,5.98,5.98,0,5.98,0,5.98,Byte,,,,,,,,,,,,
1590PXF62S,9/5/19,1:04:04 PM,1:04:04 PM,GSV,Vermont Cheddar & Grapes,1,3.49,3.49,3.49,0,3.49,1,2.49,Byte,,,,,,,,,,,,
1590PXF610,9/5/19,1:03:00 PM,1:03:00 PM,GSV,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
